;hinderances_themes;hinderances_keywords
1;;
5;;
6;setup,development;setup,server,access,search
7;disseminate,reuse,development;web,report,package,format,integrat(ing|ion),dataframes,input
8;development;cut
9;reuse;schedule,automat(e|ing|ion)
10;;
11;development;integrat(ing|ion),vim,edit(ing|or),browse
12;collab;collab
13;development;vim
14;version,development;git,integrat(ing|ion)
15;external;policy,colleague
16;disseminate,reuse,language,setup,development;writing,long,fortran,state,plot,interact
21;version;git
22;;
23;development;debug,ui,ide(\W|$),refactor
24;collab;collab
26;disseminate,reuse,version,setup,development;document,large,version,documentation,format
27;robust,setup;reliability,windows,windows
28;disseminate;paper,report
29;external,collab;colleague,collab
31;;
33;disseminate,setup,development;document,documentation,config,script
34;language,development;matlab,debug,ide(\W|$),visual
35;external,reuse,collab,development;team,manag(e|ing),shar(e|ing),project,workspace
36;version,development;git,interact
37;development;edit(ing|or)
38;nothing;nothing
39;disseminate,version,development;deploy,version,integrat(ing|ion),search,project,widgets
40;;
41;version,development;git,integrat(ing|ion),interact
42;development;complet(e|ion),refactor
43;development;edit(ing|or),ide(\W|$)
48;reuse;modul(e|ar),librar(y|ies)
49;nothing;nothing
51;setup;server
52;development;edit(ing|or)
53;setup;server
54;nothing;nothing
55;;
59;development;collapse
60;disseminate,reuse,version,setup,development;present,large,version,config,develop,development,scroll,project,widgets
61;;
63;disseminate,robust,language,version,setup,development;gui,error,r($|\W),r(\W|$),git,version,install,desktop,develop,development,edit(ing|or),debug,shortcuts
66;version,setup,development;history,state,browse,complet(e|ion)
68;nothing;nothing
69;reuse,development;librar(y|ies),interact
72;reuse,development;modul(e|ar),interact
78;integrations;sas
79;setup,development;environ,develop,development
81;disseminate,language,development;document,matlab,design,variable,view,edit(ing|or),browse,complet(e|ion),interact,interface
85;disseminate,development;gui,browse
86;;
89;version,setup,development;git,theme,theme,integrat(ing|ion)
92;nothing;nothing
93;integrations,development;db,connections,widgets,interact
94;setup;install
95;external,collab,version;colleague,collab,git
96;disseminate,development;product(ion|i(s|z)ation),script
97;version,development;version,develop,development,edit(ing|or),browse
98;integrations,collab;excel,shar(e|ing)
99;reuse,development;complex,script
101;disseminate,version,development;product(ion|i(s|z)ation),version,integrat(ing|ion)
102;nothing;nothing
103;version,setup,development;version,config,ui,organization,organi(s|z)
104;version,development;version,integrat(ing|ion),edit(ing|or)
105;version,development;git,version,key binding,vim
107;;
109;integrations,development;excel,format
110;development;script
117;version,setup,development;git,version,environ,setup,variable
118;language,development;scala,julia,r($|\W),r(\W|$),integrat(ing|ion)
119;development;develop,ide(\W|$)
120;;
122;robust,collab;crash,collab
123;version,development;version,develop,development,vim,edit(ing|or),emacs
125;;
126;disseminate,development;export,view,project
128;disseminate,development;export,integrat(ing|ion),edit(ing|or),cut,understand
129;external,setup;colleague,environ
131;nothing;nothing
133;;
134;development;vim,edit(ing|or),script,emacs
135;reuse,integrations,setup,development;large,conda,environ,kernels,server,scroll,edit(ing|or),emacs
137;development;browse
138;development;emacs
139;development;test
141;disseminate,reuse,language;latex,complex,scala
142;development;edit(ing|or),ide(\W|$)
143;version;version
144;development;programming
145;reuse,setup,development;long,setup,plot,input,widgets,interact
146;collab,version;collab,version
148;setup,development;environ,browse
149;version;git,version
150;disseminate,version,setup,development;dashboard,version,install,widgets
151;;
152;disseminate,version,setup;document,version,documentation,install
153;disseminate,robust,integrations,setup;distribution,bug,conda,kernels
155;disseminate,development;publi(sh|cation),publication,programming
156;development;debug,refactor
157;disseminate,robust,reuse,version,development;books,reload,modul(e|ar),librar(y|ies),repeat,version,develop,test,integrat(ing|ion)
159;;
160;;
163;disseminate,reuse,development;app(s|lication),librar(y|ies),develop,development
165;nothing;no need
167;;
169;nothing;nothing
173;disseminate,version,setup,development;latex,version,customization,customi(s|z),format,edit(ing|or),browse
174;reuse,development;package,completion,packages,intellisense,complet(e|ion)
175;integrations,language;d3,javascript
176;disseminate,nothing;report,document,nothing
177;development;notes,understand
179;;
182;disseminate,setup;document,documentation
183;nothing,development;nothing,notes
184;development;shortcuts,emacs
186;version,development;diff(\W|$),search
188;development;project
189;version,development;version,merge
194;;
196;development;project
197;development;project
198;external,language;colleague,matlab
200;development;browse,project
201;nothing;nothing
204;development;programming,linear
206;development;develop
210;disseminate,integrations,development;authoring,publi(sh|cation),latex,publication,slides,rstudio,integrat(ing|ion),edit(ing|or)
211;development;edit(ing|or)
216;disseminate,reuse;dashboard,manag(e|ing)
219;;
220;development;search
221;development;edit(ing|or)
223;disseminate,setup;deploy,setup
225;disseminate,reuse,collab,development;app(s|lication),large,collab,applications,develop,development
227;;
229;development;plot,visual,interact
231;setup,development;environ,develop,development,scroll,branch
232;;
233;setup;kernels,server
235;version;version
237;disseminate,nothing,setup;latex,nothing,install
238;version,development;git,version,integrat(ing|ion)
239;reuse;modul(e|ar),reus(e|able)
240;disseminate,setup,development;document,documentation,widgets,interact
243;;
245;version,development;git,integrat(ing|ion)
246;version,development;version,edit(ing|or),emacs
249;disseminate,integrations,language,development;export,report,rstudio,r($|\W),r(\W|$),format
250;;
252;version;git
253;collab,development;multi-?user,edit(ing|or)
254;disseminate,setup,development;standalone,customization,customi(s|z),vim,edit(ing|or),script
258;development;integrat(ing|ion),interact
259;reuse,development;large,edit(ing|or)
261;development;vim,shortcuts
263;version,setup,development;version,mobile,interface
264;disseminate,setup,development;document,documentation,test,browse
265;language,development;r($|\W),r(\W|$),emacs
266;;
268;disseminate,development;writing,plot,script
271;development;edit(ing|or)
273;development;notes
274;integrations,language;rstudio,r($|\W),r(\W|$)
275;reuse,development;maintain,edit(ing|or),emacs
277;development;variable
278;robust,reuse,development;slow,large,collapse,interface
279;reuse;package,librar(y|ies)
280;nothing;nothing
282;external,reuse,version,development;people,long,version,script,collapse
284;reuse;long
286;version,development;version,interface
287;external;inertia
290;development;scroll
293;robust,development;crash,debug,browse
294;disseminate,robust,setup,development;web,windows,install,desktop,windows,edit(ing|or)
295;development;ui
298;;
304;;
305;version,development;git,edit(ing|or),ide(\W|$)
306;version;change ?log
307;disseminate,collab;blog,collab
308;;
309;development;edit(ing|or)
310;reuse,setup,development;package,reproduc,startup,install,packages
311;development;organi(s|z)
314;development;debug,interact
316;development;search
317;development;edit(ing|or)
322;;
324;disseminate,reuse,development;writing,package,format,vim,edit(ing|or)
328;setup;server
331;development;integrat(ing|ion),edit(ing|or),lint
332;version,development;version,develop,development
333;setup;install
334;language;scala,sql
337;integrations,language;native,sql
340;;
341;reuse;librar(y|ies)
342;development;plot
345;development;shortcuts,emacs
348;setup;environ
349;development;vim,interface
351;development;understand
352;disseminate,robust,reuse,version,development;export,latex,slides,speed,slow,large,git,integrat(ing|ion)
353;version;version
355;setup;server
356;setup;install
357;external;legacy
358;development;variable,debug
361;reuse,development;large,develop
362;external,collab,development;people,shar(e|ing),edit(ing|or),emacs
366;development;programming
370;version,development;version,integrat(ing|ion)
373;development;vim,shortcuts,keyboard
374;reuse;large
378;;
379;language;perl
383;disseminate,robust;latex,slow
384;collab;collab
385;collab,version,development;shar(e|ing),version,integrat(ing|ion)
387;external,disseminate,collab;team,export,shar(e|ing)
389;integrations,development;django,develop,development,edit(ing|or),complet(e|ion)
393;development;programming,emacs
394;;
396;;
398;disseminate,setup;transition,install
399;reuse,development;package,develop,packages
400;version;version
401;disseminate,version,setup,development;app(s|lication),version,environ,ide(\W|$),emacs,interface
403;integrations,language,development;rstudio,r($|\W),r(\W|$),scroll,browse
406;disseminate,version,setup,development;standalone,app(s|lication),git,desktop,develop,variable,ide(\W|$)
408;robust;performance,ipad
411;collab;collab
412;development;debug
413;disseminate,version,development;paper,latex,document,git,integrat(ing|ion),view,vim,edit(ing|or)
414;setup;state
418;robust,version,development;bug,git,integrat(ing|ion),debug,visual
419;disseminate,development;writing,vim
421;robust,setup;windows,windows
425;version,setup,development;diff(\W|$),git,setup,vim
426;reuse,version,setup,development;manag(e|ing),git,server,organi(s|z)
428;disseminate,setup;deploy,server
430;language;ruby
433;development;input
434;development;completion,complet(e|ion)
437;disseminate,language,development;standalone,web,app(s|lication),r($|\W),r(\W|$),applications,vim,edit(ing|or)
439;reuse,development;package,packages,debug,search
441;reuse,integrations,setup;package,fenics,environ
444;development;ide(\W|$)
445;language;matlab
448;disseminate,development;report,latex,edit(ing|or),emacs,interface
450;language,development;c\+\+,edit(ing|or)
456;language;c\+\+
458;development;cut
460;version,development;history,git,completion,debug,complet(e|ion)
462;external,disseminate;people,present
463;disseminate,reuse,version,development;gui,writing,present,manag(e|ing),version,format,edit(ing|or),ui,shortcuts,keyboard
465;nothing;nothing
468;external;colleague
472;disseminate,robust,reuse,setup,development;writing,stability,reload,modul(e|ar),kernels,edit(ing|or),browse
473;development;vim,edit(ing|or),emacs
474;development;integrat(ing|ion),edit(ing|or)
475;development;variable,view
482;collab;shar(e|ing),collab
483;reuse,collab,version;batch,collab,version
485;disseminate;export
486;development;script
488;development;shortcuts,keyboard
491;development;edit(ing|or),shortcuts
492;reuse,development;automat(e|ing|ion),interface
495;;
496;disseminate,reuse,setup,development;document,large,documentation,develop,development,debug,complet(e|ion),visual
498;development;browse
500;robust,development;error,design,edit(ing|or),interact
502;reuse,integrations,setup,development;modul(e|ar),native,customization,customi(s|z),ui
503;reuse,setup,development;modul(e|ar),customization,customi(s|z),access,spell check
504;language;sage
505;robust,reuse,development;slow,modul(e|ar),ui,keyboard,refactor
508;disseminate,collab,version,setup,development;gui,web,collab,version,startup,install,programming,widgets,interact
509;development;edit(ing|or)
511;disseminate,robust,development;web,document,documents,slow,develop,programming,browse,interface
522;version,development;git,vim
524;language,development;matlab,programming,ide(\W|$)
525;collab;shar(e|ing)
531;integrations,development;connections,plot,interact
535;reuse,development;long,edit(ing|or)
536;external,setup;people,colleague,install
540;version;version
541;;
542;reuse;complicate
546;development;shortcuts,keyboard
549;language;fortran
556;reuse,integrations;manag(e|ing),spark
559;disseminate,setup;document,documentation
561;robust,development;ipad,browse,input
563;nothing;nothing
565;setup,development;desktop,ui
575;;
576;development;edit(ing|or),emacs
578;;
579;disseminate;web
580;disseminate,reuse,development;writing,complicate,organi(s|z)
581;external,language,collab;legacy,matlab,collab
584;development;debug
587;reuse,version,development;large,git,scroll,integrat(ing|ion)
588;disseminate,reuse;writing,package,librar(y|ies)
590;development;edit(ing|or)
592;external,development;team,view,widgets,interact
594;development;programming,integrat(ing|ion),search,shortcuts,input,keyboard
595;setup;install,kernels
600;setup;install,kernels
605;development;edit(ing|or)
607;setup;install
610;language;sql
613;nothing;nothing
615;robust;speed
616;disseminate,collab,development;document,documents,multi-?user,integrat(ing|ion),organization,organi(s|z)
617;development;develop,development,test,integrat(ing|ion)
620;disseminate;document
622;external;legacy
627;nothing,development;nothing,develop,development,interact
632;development;edit(ing|or)
633;setup;environ
638;;
640;;
641;integrations,setup;conda,environ
643;development;edit(ing|or),visual
646;disseminate,reuse,development;push,maintain,complex,edit(ing|or),shortcuts,keyboard
648;disseminate;dashboard
651;reuse,development;long,scroll
653;development;edit(ing|or),ide(\W|$)
654;development;edit(ing|or),script,widgets
657;language;haskell
661;external,collab,setup,development;colleague,shar(e|ing),cost,format,visual,understand
662;disseminate,development;export,browse
663;;
664;development;scroll,graphic,interface
666;reuse,development;modul(e|ar),large,manag(e|ing),complex,visualization,plot,script,project,visual
667;development;edit(ing|or),ui
669;development;project
671;version,development;git,version,edit(ing|or)
677;external,robust,reuse,integrations,setup,development;people,windows,package,conda,install,windows,packages
681;disseminate,development;writing,edit(ing|or),ide(\W|$),script
682;disseminate,reuse,integrations,version,development;web,app(s|lication),large,native,version,integrat(ing|ion),browse
689;reuse,collab;large,shar(e|ing)
691;development;ui
693;;
694;disseminate,reuse,development;pages,modul(e|ar),manag(e|ing),ide(\W|$),project
695;;
697;robust,reuse;performance,large
700;setup;access
702;reuse;reus(e|able)
706;disseminate,reuse,setup;dashboard,document,batch,documentation
710;development;ide(\W|$)
712;reuse,collab,setup;manag(e|ing),multi-?user,collab,server,access
716;reuse,setup,development;repeat,setup,theme,theme
718;disseminate,robust,reuse,collab,setup,development;paper,document,documents,error,package,shar(e|ing),documentation,server,packages,view,browse
719;setup;startup,cost
720;disseminate,reuse,development;document,large,batch,plot,script
722;setup;environ
729;;
731;external,setup,development;team,config,view,edit(ing|or)
732;robust,setup;windows,setup,windows
738;development;edit(ing|or)
739;;
740;setup,development;desktop,browse
742;disseminate,reuse,language,version,setup,development;deploy,manag(e|ing),r($|\W),r(\W|$),git,storage,server,develop,development
746;disseminate,development;export,report,format,diagram
747;;
749;robust,language,development;bug,slow,error,r($|\W),r(\W|$),parallel
750;development;ide(\W|$)
753;;
755;language,setup;r($|\W),r(\W|$),install
756;integrations;excel
757;;
759;collab,development;collab,cut
764;;
765;disseminate,development;writing,integrat(ing|ion)
766;robust,reuse,development;reload,modul(e|ar),edit(ing|or)
773;development;scroll,cut
776;;
780;robust,reuse,setup,development;slow,reload,modul(e|ar),state,test,scroll,search,browse
782;disseminate,development;writing,edit(ing|or),script
785;reuse,development;package,packages
799;disseminate,development;embed,document,documents,emacs
800;disseminate,development;product(ion|i(s|z)ation),script
803;disseminate,development;report,format
804;development;integrat(ing|ion),edit(ing|or)
806;disseminate,language,development;document,matlab,design,format,visual,interact
808;;
811;integrations;rstudio
814;reuse,development;modul(e|ar),develop,development,edit(ing|or),ide(\W|$),visual
815;robust,reuse,collab,setup,development;windows,package,shar(e|ing),windows,packages
816;reuse;large
821;development;test,script
822;development;format
823;integrations,setup,development;native,server,access,browse
824;;
828;robust,reuse,language,development;slow,large,javascript,vim,browse
829;setup,development;server,integrat(ing|ion),browse
830;disseminate,development;writing,cut,script
835;robust,reuse,development;slow,modul(e|ar),develop,development,integrat(ing|ion)
838;development;integrat(ing|ion),edit(ing|or)
839;collab,version;shar(e|ing),git
841;;
849;;
851;development;ide(\W|$)
856;development;vim
857;reuse,language;librar(y|ies),julia
858;integrations;in-house
859;version;history
863;development;edit(ing|or)
864;development;edit(ing|or)
865;nothing;nothing
871;;
873;robust;ipad
874;development;vim
877;development;edit(ing|or),emacs
881;nothing;nothing
884;setup,development;access,variable,debug,browse
885;;
887;development;ide(\W|$)
892;setup,development;mobile,edit(ing|or)
894;disseminate,integrations,version,development;present,slides,rstudio,version,plot
897;disseminate,development;web,browse,emacs
898;development;ide(\W|$)
903;robust;stability
904;disseminate,reuse,language,development;embed,modul(e|ar),julia,edit(ing|or),browse,ide(\W|$)
905;reuse,setup;modul(e|ar),reuse,reus(e|able),state
915;;
916;disseminate,development;embed,document,edit(ing|or),graphic
918;integrations,development;rstudio,debug,visual
919;setup,development;install,theme,theme,plot,debug,input,widgets,interact
931;development;integrat(ing|ion)
933;;
938;disseminate,reuse;export,librar(y|ies)
948;disseminate,setup,development;slides,document,server,browse
951;external,integrations;team,sheets
956;reuse,development;batch,integrat(ing|ion)
959;development;project
960;nothing;nothing
964;version,development;version,vim,emacs
966;development;clutter
970;development;emacs
971;setup;environ,setup,server
974;robust,reuse,version,setup,development;slow,clean,provenance,environ,develop,design,development,test,interact
979;collab,development;shar(e|ing),cut,ide(\W|$),interface
980;nothing,development;nothing,project
986;disseminate;embed
987;robust,reuse,version,setup,development;bug,crash,reload,modul(e|ar),long,clean,git,server,develop,format,programming,variable,test,complet(e|ion),branch
990;disseminate,development;web,vim,ui
996;development;edit(ing|or)
998;setup;install
1000;;
1001;language,development;r($|\W),r(\W|$),integrat(ing|ion)
1002;development;integrat(ing|ion),edit(ing|or),ide(\W|$)
1004;;
1008;reuse;modul(e|ar),clean
1010;setup,development;customization,customi(s|z),theme,theme,shortcuts,keyboard,aesthetic
1016;robust,reuse,development;reload,modul(e|ar),develop,variable,test
1018;disseminate,setup,development;web,install,graphic,interact
1020;external;colleague
1022;integrations;django
1024;development;project
1026;version,development;git,integrat(ing|ion)
1029;development;plot,understand
1031;disseminate,development;writing,ide(\W|$)
1032;development;ide(\W|$)
1035;setup,development;state,variable,input,keyboard
1036;disseminate,reuse,setup;distribution,large,install
1040;collab,setup;shar(e|ing),kernels,access
1042;reuse,development;large,long,scroll
1044;development;completion,lint,ide(\W|$),complet(e|ion)
1046;version,development;version,ui
1048;collab,version;collab,version
1050;version;git,version
1053;disseminate,reuse,integrations,language,setup,development;web,document,librar(y|ies),rstudio,r($|\W),r(\W|$),documentation,search,graphic
1054;collab;collab
1055;development;intellisense
1063;robust,development;performance,vim,browse
1064;setup;setup
1065;robust,development;crash,integrat(ing|ion)
1066;disseminate,setup,development;document,documentation,develop,script,graphic,interact,interface
1067;setup;desktop
1071;;
1074;reuse;long
1077;nothing;nothing
1083;disseminate,reuse,development;dashboard,modul(e|ar),test,complet(e|ion)
1087;robust,development;error,format,ide(\W|$),refactor
1090;;
1091;development;completion,integrat(ing|ion),complet(e|ion)
1092;version;version
1093;;
1095;reuse,development;large,browse
1104;disseminate,setup;export,kernels,state
1106;reuse,collab,version,development;complicate,collab,git,version,edit(ing|or),merge,interface
1107;reuse,development;librar(y|ies),develop
1112;robust,development;speed,visual,emacs
1116;disseminate,version,development;web,git,format,test,edit(ing|or),browse,project
1119;development;vim
1122;integrations;ubuntu
1124;development;debug
1125;setup;kernels
1129;external,language;team,ruby
1131;language,version,setup;r($|\W),r(\W|$),history,access
1132;setup,development;environ,edit(ing|or)
1133;reuse,development;large,ide(\W|$),project
1135;external,development;inertia,emacs
1139;;
1143;integrations;pentadactyl
1150;;
1157;robust,setup,development;bug,install,kernels,ui
1159;development;edit(ing|or),browse
1161;setup;cost
1162;;
1164;nothing;nothing
1169;development;variable,vim,edit(ing|or),shortcuts,organi(s|z)
1172;robust,setup;slow,startup,install
1176;robust,development;reload,vim
1178;version,development;git,ui,cut,ide(\W|$)
1179;;
1182;collab,development;multi-?user,debug
1183;disseminate,setup;document,documentation,config
1184;nothing;nothing
1185;reuse;large
1186;version,setup;diff(\W|$),version,customi(s|z)
1189;setup;kernels,access
1191;disseminate,robust;export,latex,bug
1192;language;julia
1195;reuse,development;modul(e|ar),develop
1197;development;completion,edit(ing|or),shortcuts,complet(e|ion)
1200;reuse;manag(e|ing)
1204;;
1207;reuse,development;large,organi(s|z)
1212;language,collab;matlab,collab
1214;disseminate,setup;export,dashboard,environ
1215;language,development;r($|\W),matlab,r(\W|$),variable,view
1216;external,collab;team,collab
1218;disseminate;writing
1220;;
1226;reuse;large
1230;robust,reuse,collab,version,development;reload,modul(e|ar),shar(e|ing),git,version,variable,integrat(ing|ion)
1233;nothing;nothing
1234;disseminate,setup;deploy,document,documentation
1239;external,disseminate,reuse,language,collab,development;people,export,embed,report,complicate,package,reproduc,matlab,shar(e|ing),programming,plot,edit(ing|or),ui,script,widgets,interact
1242;language,development;matlab,variable,view,debug
1243;collab,version,development;shar(e|ing),collab,tracking,version,integrat(ing|ion)
1247;development;edit(ing|or)
1253;;
1254;integrations,development;rstudio,project
1255;robust,development;error,format
1261;collab,setup,development;shar(e|ing),setup,desktop,ide(\W|$),project
1262;reuse,development;large,test
1264;external;adoption
1266;development;edit(ing|or),ide(\W|$)
1267;;
1268;disseminate;citation
1269;integrations,development;rstudio,view
1270;collab;simultaneous
1272;disseminate;publi(sh|cation)
1274;disseminate,development;app(s|lication),applications,develop
1277;integrations,development;rstudio,scroll,interface
1279;development;variable,view,debug
1281;;
1283;version,development;git,design,format,ui
1285;development;spell check
1291;version;git,version
1295;;
1297;external;acceptance
1306;development;develop,vim,ide(\W|$)
1307;disseminate,language,development;writing,javascript,visualization,view,visual,interact
1308;;
1310;development;cut
1314;version,development;git,version,organization,organi(s|z)
1324;robust,reuse;reload,large
1325;disseminate,reuse,integrations,language,development;gui,complex,excel,c#,debug,interact
1332;integrations,language,setup;spark,scala,clojure,kernels
1333;nothing;nothing
1334;version,development;version,visualization,script,visual
1335;reuse,language,setup;complex,julia,startup
1337;disseminate,setup;export,document,documentation
1339;development;test,integrat(ing|ion)
1340;language;clojure
1342;version;git,tracking,version
1345;development;polyglot
1347;version,setup;git,version,server
1349;development;edit(ing|or)
1352;;
1355;reuse,development;modul(e|ar),linear
1356;setup;server,access
1359;development;script
1360;;
1363;;
1366;development;vim,edit(ing|or),emacs
1368;disseminate,version,development;web,version,variable,plot,cut,project
1369;;
1370;robust,version,development;bug,diff(\W|$),git,edit(ing|or)
1372;;
1378;robust,collab,setup,development;windows,multi-?user,simultaneous,environ,access,windows,view,vim,edit(ing|or),browse
1379;reuse,collab,development;manag(e|ing),simultaneous,ide(\W|$),project
1380;development;integrat(ing|ion),edit(ing|or)
1381;collab,setup,development;shar(e|ing),theme,mobile,theme
1383;disseminate,reuse,development;writing,large,develop,debug,ide(\W|$)
1384;nothing;nothing
1386;;
1388;development;edit(ing|or)
1389;development;visualization,visual
1392;;
1393;version,development;git,format,edit(ing|or)
1394;disseminate,reuse,version,development;writing,modul(e|ar),version,edit(ing|or)
1395;;
1396;setup;install
1399;collab;collab
1400;version;history,git
1402;version,development;diff(\W|$),linear
1408;reuse,setup;librar(y|ies),install,setup,access
1409;disseminate,reuse;product(ion|i(s|z)ation),export,schedule
1410;disseminate,setup,development;deploy,web,server,programming
1415;;
1416;robust,reuse,development;bug,error,manag(e|ing),develop,development,project
1417;reuse;reuse,reus(e|able)
1419;development;edit(ing|or)
1420;reuse;librar(y|ies)
1421;disseminate;product(ion|i(s|z)ation)
1425;disseminate,reuse,version,development;standalone,report,transition,large,librar(y|ies),version,integrat(ing|ion),edit(ing|or),script
1426;reuse,development;large,edit(ing|or),refactor
1427;;
1428;;
1430;setup;turn-key,server
1431;reuse,collab,version;manag(e|ing),multi-?user,collab,version
1432;version;version
1433;language,development;r($|\W),r(\W|$),integrat(ing|ion)
1437;disseminate,setup;textbook,web,document,documentation
1438;integrations,version,development;native,git,version,script
1439;language,development;scala,ide(\W|$)
1441;disseminate,development;send,test,edit(ing|or)
1442;;
1450;development;key binding,debug
1451;collab;shar(e|ing)
1453;collab;collab
1454;nothing;nothing
1455;disseminate,version,development;pages,git,test,view,shortcuts,keyboard,branch
1456;nothing;nothing
1458;development;parallel
1460;setup,development;kernels,interact
1463;integrations;rstudio
1464;disseminate,nothing,development;document,nothing,organi(s|z)
1468;disseminate,development;latex,bibliograph,edit(ing|or)
1469;disseminate,reuse,setup,development;writing,export,latex,document,large,manag(e|ing),documentation,customi(s|z),format,script
1471;disseminate,version;document,version
1474;;
1478;development;edit(ing|or)
1479;setup,development;kernels,visual
1480;disseminate,collab,setup;document,shar(e|ing),documentation,install,config,server
1483;disseminate,development;gui,vim,edit(ing|or),interface
1484;development;shortcuts,keyboard
1486;version,development;version,script
1487;version,development;git,integrat(ing|ion),edit(ing|or),lint
1491;collab;collab
1493;external;people
1494;reuse,development;modul(e|ar),script,merge
1495;external;compliance
1496;development;debug
1497;disseminate,development;paper,export,report,latex,format,variable
1498;reuse,development;modul(e|ar),reuse,reus(e|able),develop,development,edit(ing|or)
1503;external,collab;people,collab
1504;version,development;diff(\W|$),git,graphic
1505;development;vim,edit(ing|or)
1511;setup,development;environ,develop,development
1512;development;test,integrat(ing|ion)
1515;disseminate,development;writing,paper,graphic,interface
1516;external;habit
1517;development;edit(ing|or)
1518;setup;kernels
1520;language,development;matlab,design
1522;;
1524;reuse;package,manag(e|ing)
1525;development;edit(ing|or)
1527;development;browse,emacs
1529;disseminate,version;export,history
1530;disseminate,development;export,slides,format
1531;development;edit(ing|or)
1532;disseminate,reuse,development;writing,modul(e|ar),package,packages,edit(ing|or),ide(\W|$)
1534;disseminate,language,collab,setup,development;slides,matlab,collab,setup,widgets
1538;disseminate,setup;document,documentation
1541;version,development;git,integrat(ing|ion)
1542;development;debug
1551;setup,development;server,keyboard,interface
1552;development;workspace
1554;version;git,tracking,version
1556;development;develop,development,interact
1557;reuse,collab;maintain,multi-?user,collab
1558;integrations,development;rstudio,integrat(ing|ion),view,ide(\W|$)
1562;reuse,development;serious,design,edit(ing|or),shortcuts,keyboard
1563;disseminate,collab,version;push,shar(e|ing),collab,git
1564;development;interface
1565;language,setup;scala,kernels
1566;version,development;version,debug,ui
1568;disseminate,reuse,version,development;latex,large,diff(\W|$),edit(ing|or),browse,merge
1574;setup;setup
1575;disseminate;web,publi(sh|cation)
1576;nothing;nothing
1579;version,development;git,edit(ing|or),project
1582;reuse,development;manag(e|ing),proliferation
1583;disseminate,development;writing,debug
1587;development;browse
1588;disseminate,setup,development;writing,present,report,latex,slides,document,documentation,integrat(ing|ion),view,edit(ing|or),search
1590;reuse,integrations;manag(e|ing),native
1592;reuse;modul(e|ar)
1593;reuse,development;parameter,script
1594;collab,setup,development;multi-?user,environ,interact
1595;collab,development;collab,search
1598;development;plot,vim,shortcuts,widgets,emacs,interact
1600;reuse,development;librar(y|ies),ide(\W|$)
1603;version,development;git,edit(ing|or),project
1607;disseminate,reuse,collab,version,setup,development;document,modul(e|ar),package,maintain,portab,simultaneous,version,environ,documentation,server,state,develop,development,packages,edit(ing|or)
1608;;
1609;development;ide(\W|$),refactor
1610;language;matlab
1611;external,disseminate,collab,setup;colleague,deploy,shar(e|ing),server
1616;collab;collab
1617;disseminate,setup;document,documentation
1618;version;version
1621;setup,development;kernels,programming
1623;disseminate,reuse,version,development;dashboard,manag(e|ing),history,completion,edit(ing|or),browse,complet(e|ion)
1624;disseminate,robust,setup;document,windows,windows
1625;development;completion,complet(e|ion)
1626;reuse,setup;complicate,startup,server
1629;disseminate,version,development;document,git,version,refactor
1630;development;variable
1631;setup;access
1635;;
1636;;
1637;development;edit(ing|or)
1638;language;julia,r($|\W),r(\W|$),ruby
1641;development;edit(ing|or)
1643;setup;hosted
1644;reuse,language,collab,version,setup,development;cron,javascript,shar(e|ing),version,server,debug,input,understand
1645;disseminate,language,development;embed,matlab,edit(ing|or),debug,interface
1650;language,development;matlab,plot,ui,input,interact,interface
1654;disseminate,version,setup,development;document,git,version,documentation,integrat(ing|ion)
1657;nothing,reuse;nothing,schedule
1661;;
1662;external,reuse,integrations;acceptance,colleague,librar(y|ies),excel
1663;external;people
1667;setup,development;desktop,view,search
1668;reuse;manag(e|ing)
1672;development;develop,vim,edit(ing|or),browse,emacs
1677;disseminate,robust,setup,development;export,windows,install,windows,format
1678;robust,reuse;slow,crash,large
1681;disseminate;document
1683;collab,version,setup;multi-?user,collab,diff(\W|$),server
1686;reuse,collab;long,shar(e|ing),collab
1690;;
1691;disseminate,integrations,language,development;latex,d3,javascript,visualization,visual
1693;integrations,development;rstudio,edit(ing|or),script,interact
1695;reuse,version,development;large,git,version,variable,dataframes,interact
1697;;
1701;version;git,version
1702;version,development;git,integrat(ing|ion),browse
1703;;
