;pleasant_aspects_themes;pleasant_aspects_keywords
1161;interactivity,ecosystem,ux;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,eas(e|y|iness)(\sof|\sto)?(\suse|install)?,tool(ing)?,looks (nice|great)|appealing|beautiful|pretty|elegant|appearance
1162;visualization,ux,integrated_content;visual|eye candy,simpl(e|icity)|clean,mark(up|down)|HTML,looks (nice|great)|appealing|beautiful|pretty|elegant|appearance
1163;interactivity;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed
1169;interactivity,ux;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,eas(e|y|iness)(\sof|\sto)?(\suse|install)?
1172;ecosystem;magics?
1178;interactivity,integrated_content,ux;doc(s|umentation)?($|\W),rich (content|output)|figures?|pictures?|images?|media,litera(te|cy) programming,run,iterative|feedback|dynamic,in-?line,mark(up|down)|HTML,cells?,integrated?
1183;hosting,ux;web|browser|http,server
1184;interactivity;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed
1192;integrated_content,ux;doc(s|umentation)?($|\W),in-?line,mark(up|down)|HTML
1200;dissemination,persistence,ux;responsive,(auto)?sav(e|ing),others,shar(e|ing)
1204;ux;ux|interface|g?ui($|\W),simpl(e|icity)|clean
1212;interactivity,hosting,ux;eas(e|y|iness)(\sof|\sto)?(\suse|install)?,cells?,install
1220;visualization,integrated_content;graph(s|ic|ing),mark(up|down)|HTML,combine|(text|code) (and|with)|and (code|text)
1221;visualization,ux;eas(e|y|iness)(\sof|\sto)?(\suse|install)?,graph(s|ic|ing)
1226;interactivity,ux;eas(e|y|iness)(\sof|\sto)?(\suse|install)?,run,simpl(e|icity)|clean
1230;hosting,interactivity,persistence,visualization,integrated_content;rich (content|output)|figures?|pictures?|images?|media,litera(te|cy) programming,iterative|feedback|dynamic,interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,(auto)?sav(e|ing),plot(ting)?,server
1233;dissemination,ux,integrated_content;eas(e|y|iness)(\sof|\sto)?(\suse|install)?,simpl(e|icity)|clean,shar(e|ing),mark(up|down)|HTML
1234;visualization;visual|eye candy,vi(s|z)ualization
1236;interactivity;cells?
1239;visualization,hosting,interactivity,integrated_content,ux;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,plot(ting)?,eas(e|y|iness)(\sof|\sto)?(\suse|install)?,remote,in-?line
1241;;
1243;interactivity,integrated_content;rich (content|output)|figures?|pictures?|images?|media,latex,cells?
1249;dissemination,ux;eas(e|y|iness)(\sof|\sto)?(\suse|install)?,web|browser|http,shar(e|ing)
1253;;
1254;ux;modal,keyboard|hotkeys?|short-?cuts?|keybindings?
1257;hosting,interactivity,integrated_content,ux;aesthetic(s|ally),run,mark(up|down)|HTML,server
1258;ecosystem;matplotlib
1264;interactivity,visualization,integrated_content;rich (content|output)|figures?|pictures?|images?|media,cells?,(ipy)?widgets
1267;persistence,integrated_content;(auto)?sav(e|ing),mark(up|down)|HTML
1272;integrated_content,ux;doc(s|umentation)?($|\W),all(\s|-)in(\s|-)one|one place
1274;ux;eas(e|y|iness)(\sof|\sto)?(\suse|install)?
1277;dissemination,integrated_content,ux;pdf,eas(e|y|iness)(\sof|\sto)?(\suse|install)?,render,mark(up|down)|HTML
1285;visualization;visual|eye candy
1287;dissemination,interactivity,integrated_content,ux;looks (nice|great)|appealing|beautiful|pretty|elegant|appearance,interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,presentations?,mark(up|down)|HTML,combine|(text|code) (and|with)|and (code|text)
1291;hosting,visualization,ecosystem,ux;platform,community|ecosystem|open source,visual|eye candy,web|browser|http,vi(s|z)ualization
1296;interactivity,language;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,i?python
1297;interactivity,visualization,integrated_content;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,iterative|feedback|dynamic,graph(s|ic|ing),in-?line
1306;interactivity,visualization;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,visual|eye candy,vi(s|z)ualization
1308;interactivity,ux;eas(e|y|iness)(\sof|\sto)?(\suse|install)?,run
1314;visualization,ecosystem,integrated_content;pandas,visual|eye candy,embedded,vi(s|z)ualization,mark(up|down)|HTML
1323;language,persistence;history,i?python
1324;interactivity;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed
1325;interactivity,language,ecosystem,extensible;community|ecosystem|open source,kernels|backends|kernel support,repl,i?python
1332;hosting,interactivity,ux;eas(e|y|iness)(\sof|\sto)?(\suse|install)?,setup,workflow
1333;interactivity,integrated_content;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,iterative|feedback|dynamic,cells?,combine|(text|code) (and|with)|and (code|text)
1334;dissemination,integrated_content;teaching,latex
1335;visualization,integrated_content;graph(s|ic|ing),combine|(text|code) (and|with)|and (code|text)
1342;interactivity,visualization,ux;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,visual|eye candy,vi(s|z)ualization,help
1343;interactivity,visualization,ecosystem,dissemination,integrated_content;reproducibility,rich (content|output)|figures?|pictures?|images?|media,visual|eye candy,community|ecosystem|open source,vi(s|z)ualization,tool(ing)?,interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed
1346;hosting,language,integrated_content;aws,languages?,mark(up|down)|HTML
1347;integrated_content;notes|comments
1350;dissemination,ux;teaching,eas(e|y|iness)(\sof|\sto)?(\suse|install)?,web|browser|http,shar(e|ing)
1354;dissemination,persistence;shar(e|ing),log
1355;ux;keyboard|hotkeys?|short-?cuts?|keybindings?
1356;interactivity;iterative|feedback|dynamic
1359;integrated_content;combine|(text|code) (and|with)|and (code|text)
1363;interactivity,hosting,ux;eas(e|y|iness)(\sof|\sto)?(\suse|install)?,cells?,deployment
1364;visualization,interactivity,integrated_content;run,graph(s|ic|ing),in-?line
1366;hosting;remote
1368;visualization;(display|see) (data|charts?|plots?)
1370;interactivity;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,iterative|feedback|dynamic
1372;visualization,dissemination;visual|eye candy,teaching
1375;interactivity,ux;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,ux|interface|g?ui($|\W),explor(e|atory)|experiment|sandbox|prototype
1378;interactivity,visualization,ecosystem,language,ux;visual|eye candy,community|ecosystem|open source,vi(s|z)ualization,eas(e|y|iness)(\sof|\sto)?(\suse|install)?,interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,i?python
1380;interactivity;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed
1381;visualization,dissemination,integrated_content,ux;visual|eye candy,others,in-?line,vi(s|z)ualization,eas(e|y|iness)(\sof|\sto)?(\suse|install)?,shar(e|ing),(ipy)?widgets
1382;integrated_content;all(\s|-)in(\s|-)one|one place
1383;dissemination,ux;eas(e|y|iness)(\sof|\sto)?(\suse|install)?,others,shar(e|ing)
1384;hosting,ecosystem,ux;matplotlib,eas(e|y|iness)(\sof|\sto)?(\suse|install)?,setup,ux|interface|g?ui($|\W),bokeh
1389;ux;web|browser|http
1390;visualization,ecosystem,integrated_content,ux;graph(s|ic|ing),rich (content|output)|figures?|pictures?|images?|media,ux|interface|g?ui($|\W),matplotlib,bokeh,combine|(text|code) (and|with)|and (code|text)
1393;interactivity,ecosystem,integrated_content;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,matplotlib,iterative|feedback|dynamic,in-?line,mark(up|down)|HTML
1402;ux;web|browser|http,ux|interface|g?ui($|\W)
1409;interactivity,ux;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,eas(e|y|iness)(\sof|\sto)?(\suse|install)?
1415;visualization,integrated_content;visual|eye candy,mark(up|down)|HTML
1416;interactivity,ux;intuitive,cells?,looks (nice|great)|appealing|beautiful|pretty|elegant|appearance
1417;interactivity,integrated_content;run,cells?,combine|(text|code) (and|with)|and (code|text)
1419;dissemination,ux,integrated_content;ux|interface|g?ui($|\W),shar(e|ing),mark(up|down)|HTML
1420;interactivity,language,integrated_content;bash,rich (content|output)|figures?|pictures?|images?|media,iterative|feedback|dynamic,mark(up|down)|HTML,interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,latex,i?python
1421;dissemination,ux;eas(e|y|iness)(\sof|\sto)?(\suse|install)?,shar(e|ing)
1425;visualization,persistence,integrated_content;graph(s|ic|ing),persist(ence|ent)?,in-?line,mark(up|down)|HTML
1427;;
1428;organization,visualization,ux;plot(ting)?,eas(e|y|iness)(\sof|\sto)?(\suse|install)?,graph(s|ic|ing),organiz(e|ation)
1431;interactivity,language,hosting;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,workflow,languages?,i?python,install
1432;interactivity;cells?
1434;interactivity,visualization,ux,integrated_content;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,plot(ting)?,completion,in-?line
1437;visualization,interactivity,dissemination;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,visual|eye candy,tell a story,vi(s|z)ualization
1438;hosting,interactivity,ux;remote,run,ux|interface|g?ui($|\W),web|browser|http
1441;language,integrated_content,ux;litera(te|cy) programming,eas(e|y|iness)(\sof|\sto)?(\suse|install)?,latex,mark(up|down)|HTML,languages?
1448;;
1450;ux;web|browser|http
1453;visualization,integrated_content,ux;litera(te|cy) programming,doc(s|umentation)?($|\W),graph(s|ic|ing),combine|(text|code) (and|with)|and (code|text)
1454;ux,integrated_content;completion,mark(up|down)|HTML
1456;interactivity,hosting,extensible;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,remote,kernels|backends|kernel support
1458;integrated_content,extensible,ux;custom,aesthetic(s|ally),mathjax
1459;integrated_content;all(\s|-)in(\s|-)one|one place
1460;;
1463;visualization,persistence;visual|eye candy,log
1464;visualization,language,interactivity,integrated_content;run,graph(s|ic|ing),integrated?,i?python
1466;ux,integrated_content;ux|interface|g?ui($|\W),latex,mark(up|down)|HTML
1468;dissemination;collaborat(e|ion|ive|ors)
1469;visualization,hosting;plot(ting)?,remote,(ipy)?widgets
1476;interactivity,ux;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,doc(s|umentation)?($|\W)
1477;hosting,ecosystem,integrated_content;docker,rich (content|output)|figures?|pictures?|images?|media,github,remote,aws,server
1478;visualization,integrated_content;graph(s|ic|ing),mark(up|down)|HTML
1479;hosting,interactivity,dissemination,language;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,setup,shar(e|ing),i?python,server
1480;interactivity;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,repl
1481;interactivity;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,iterative|feedback|dynamic
1487;hosting,ux;ux|interface|g?ui($|\W),web|browser|http,server
1490;visualization,integrated_content;all(\s|-)in(\s|-)one|one place,graph(s|ic|ing)
1493;interactivity,integrated_content,ux;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,litera(te|cy) programming,eas(e|y|iness)(\sof|\sto)?(\suse|install)?
1494;hosting,integrated_content,interactivity,dissemination,ecosystem,ux;in-?line,eas(e|y|iness)(\sof|\sto)?(\suse|install)?,remote,shar(e|ing),interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,matplotlib,server
1495;;
1498;integrated_content,ux;eas(e|y|iness)(\sof|\sto)?(\suse|install)?,mark(up|down)|HTML
1503;interactivity,visualization,dissemination,integrated_content;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,plot(ting)?,others,in-?line
1507;visualization,ecosystem,integrated_content;matplotlib,plot(ting)?,in-?line
1512;visualization,hosting,ecosystem,integrated_content,ux;doc(s|umentation)?($|\W),visual|eye candy,in-?line,vi(s|z)ualization,common,portability
1515;dissemination,language,ux;ux|interface|g?ui($|\W),web|browser|http,i?python,shar(e|ing)
1517;ux;eas(e|y|iness)(\sof|\sto)?(\suse|install)?,ux|interface|g?ui($|\W),simpl(e|icity)|clean
1518;ux,extensible;plugin,eas(e|y|iness)(\sof|\sto)?(\suse|install)?,custom
1520;interactivity,ux;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,ux|interface|g?ui($|\W),simpl(e|icity)|clean
1524;visualization,persistence;visual|eye candy,log
1525;ux;style
1529;visualization,ux;plot(ting)?,design
1530;interactivity,dissemination;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,shar(e|ing)
1531;interactivity;run
1534;interactivity,visualization,extensible,ux;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,kernels|backends|kernel support,editor,(ipy)?widgets
1541;visualization,language,ux;visual|eye candy,languages?,completion,i?python
1551;ux;ux|interface|g?ui($|\W),web|browser|http
1554;interactivity;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed
1556;interactivity,ux;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,eas(e|y|iness)(\sof|\sto)?(\suse|install)?
1557;visualization,integrated_content,extensible;rich (content|output)|figures?|pictures?|images?|media,kernels|backends|kernel support,in-?line,(ipy)?widgets
1559;persistence,integrated_content;(auto)?sav(e|ing),latex,mark(up|down)|HTML,combine|(text|code) (and|with)|and (code|text)
1562;interactivity,visualization,integrated_content;rich (content|output)|figures?|pictures?|images?|media,graph(s|ic|ing),cells?,in-?line
1563;visualization,integrated_content;plot(ting)?,notes|comments
1565;visualization,integrated_content;plot(ting)?,integrated?
1568;visualization;(ipy)?widgets
1573;interactivity,ux;run,ux|interface|g?ui($|\W)
1575;ux,integrated_content;ux|interface|g?ui($|\W),simpl(e|icity)|clean,integrated?,web|browser|http
1583;;
1587;;
1590;ux,integrated_content;combine|(text|code) (and|with)|and (code|text),integrated?,latex,mark(up|down)|HTML,looks (nice|great)|appealing|beautiful|pretty|elegant|appearance
1593;visualization,language,ux,integrated_content;plot(ting)?,integrated?,i?python,looks (nice|great)|appealing|beautiful|pretty|elegant|appearance
1594;interactivity,integrated_content,ux;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,rich (content|output)|figures?|pictures?|images?|media,doc(s|umentation)?($|\W),iterative|feedback|dynamic
1598;interactivity,visualization,integrated_content;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,run,mark(up|down)|HTML,(ipy)?widgets
1600;interactivity,ecosystem;magics?,interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,cells?
1601;interactivity;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed
1604;interactivity,ecosystem;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,librar(y|ies)
1606;hosting,interactivity,integrated_content,ux;combine|(text|code) (and|with)|and (code|text),rich (content|output)|figures?|pictures?|images?|media,run,eas(e|y|iness)(\sof|\sto)?(\suse|install)?,remote,server
1609;visualization,dissemination,ux;visual|eye candy,intuitive,vi(s|z)ualization,eas(e|y|iness)(\sof|\sto)?(\suse|install)?,shar(e|ing),looks (nice|great)|appealing|beautiful|pretty|elegant|appearance
1611;interactivity;run
1616;interactivity,language,ux,integrated_content;web|browser|http,ux|interface|g?ui($|\W),mark(up|down)|HTML,interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,latex,i?python
1618;ux;keyboard|hotkeys?|short-?cuts?|keybindings?
1621;dissemination,integrated_content;export,mark(up|down)|HTML
1622;language,ux;navigation,keyboard|hotkeys?|short-?cuts?|keybindings?,i?python
1623;hosting;on-?line
1626;language;i?python
1630;interactivity,ux;keyboard|hotkeys?|short-?cuts?|keybindings?,cells?,looks (nice|great)|appealing|beautiful|pretty|elegant|appearance
1635;integrated_content,ux;embedded,web|browser|http,looks (nice|great)|appealing|beautiful|pretty|elegant|appearance
1638;ux;simpl(e|icity)|clean,design
1639;interactivity,visualization,integrated_content;plot(ting)?,cells?,mark(up|down)|HTML
1644;visualization,integrated_content,ux;visual|eye candy,doc(s|umentation)?($|\W),vi(s|z)ualization,combine|(text|code) (and|with)|and (code|text)
1645;visualization,cost,integrated_content;free,graph(s|ic|ing),in-?line
1647;ux;completion
1650;interactivity;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,cells?
1654;integrated_content;all(\s|-)in(\s|-)one|one place
1657;interactivity,dissemination,ecosystem,integrated_content,extensible;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,rich (content|output)|figures?|pictures?|images?|media,exten(d|sible|sions),export,github
1661;ux;eas(e|y|iness)(\sof|\sto)?(\suse|install)?,doc(s|umentation)?($|\W)
1662;interactivity,language,ecosystem;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,iterative|feedback|dynamic,librar(y|ies),i?python
1667;interactivity;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed
1668;interactivity,visualization;visual|eye candy,repl,vi(s|z)ualization
1681;visualization;vi(s|z)ualization
1683;visualization,ux,extensible;visual|eye candy,eas(e|y|iness)(\sof|\sto)?(\suse|install)?,exten(d|sible|sions)
1690;ux;responsive,ux|interface|g?ui($|\W)
1691;;
1693;interactivity;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed
1694;stability,ux;aesthetic(s|ally),reliable,stable
1695;ux;simpl(e|icity)|clean,looks (nice|great)|appealing|beautiful|pretty|elegant|appearance
1700;interactivity,integrated_content;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,rich (content|output)|figures?|pictures?|images?|media
1701;interactivity,dissemination,ecosystem,integrated_content,ux;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,eas(e|y|iness)(\sof|\sto)?(\suse|install)?,notes|comments,standard,shar(e|ing)
1702;ux;completion
1704;interactivity,language;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,flexib(le|ility),languages?,i?python
